,Eteläinen,Eteläinen_lower_ci,Eteläinen_upper_ci,Läntinen,Läntinen_lower_ci,Läntinen_upper_ci,Keskinen,Keskinen_lower_ci,Keskinen_upper_ci,Pohjoinen,Pohjoinen_lower_ci,Pohjoinen_upper_ci,Koillinen,Koillinen_lower_ci,Koillinen_upper_ci,Kaakkoinen,Kaakkoinen_lower_ci,Kaakkoinen_upper_ci,Itäinen,Itäinen_lower_ci,Itäinen_upper_ci,Östersundomin,Östersundomin_lower_ci,Östersundomin_upper_ci
2026,125037,119197.26176862423,130876.73823137577,116135,112763.3562775021,119506.6437224979,111852,105992.69728020276,117711.30271979724,44584,43473.148292382306,45694.851707617694,100930,99763.33572396534,102096.66427603466,61163,56848.83099550155,65477.16900449845,116134,113575.72362553234,118692.27637446766,1804,490.39411427889445,3117.6058857211056
2027,125863,119119.8511202365,132606.1488797635,117513,113619.76117840865,121406.23882159135,113443,106677.25999492312,120208.74000507688,44391,43108.298935154344,45673.701064845656,101905,100557.85213235494,103252.14786764506,62581,57599.426727846556,67562.57327215344,116931,113976.95689307927,119885.04310692073,1995,478.17857653968576,3511.8214234603142
2028,126769,119229.93036122363,134308.06963877636,118527,114174.22667114029,122879.77332885971,115332,107767.67271527916,122896.32728472084,44244,42809.89661209687,45678.10338790313,102873,101366.84289610088,104379.15710389912,64139,58569.431764284425,69708.56823571557,117531,114228.27940223028,120833.72059776972,2156,460.1420937073715,3851.8579062926283
2029,127123,118864.36299247971,135381.6370075203,119555,114786.77572015337,124323.22427984663,117102,108815.6946276132,125388.3053723868,43990,42419.01844930175,45560.98155069825,104142,102492.08755809559,105791.91244190441,65824,59722.84368346866,71925.15631653134,118430,114812.05085492917,122047.94914507083,2300,442.2807408000906,4157.719259199909
2030,127600,118679.652505331,136520.347494669,120277,115126.72914174356,125427.27085825644,118979,110028.76725562285,127929.23274437715,43807,42110.14598799033,45503.85401200967,105199,103416.89088149011,106981.10911850989,67380,60789.99799201785,73970.00200798214,119601,115693.16828846159,123508.83171153841,2447,440.4338651145074,4453.566134885493
2031,128465,118928.74740113752,138001.25259886248,120763,115257.12885694807,126268.87114305193,121187,111618.79872533007,130755.20127466993,43548,41733.98675762486,45362.01324237514,105866,103960.84521505436,107771.15478494564,68407,61361.991516565286,75452.0084834347,121253,117075.35217435796,125430.64782564204,2554,408.89057124435976,4699.109428755641
2032,129540,119425.27668035474,139654.72331964524,120968,115128.14176761298,126807.85823238702,123277,113128.38999238468,133425.61000761532,43581,41656.94840273151,45505.05159726849,106843,104822.27819853241,108863.72180146759,69125,61652.640091769834,76597.35990823017,122825,118393.93533961891,127256.06466038109,2572,296.7678648095284,4847.232135190472
2033,130502,119840.14546916723,141163.8545308328,121154,114998.2489243907,127309.7510756093,125689,114991.42576371894,136386.57423628107,43639,41610.87153898219,45667.12846101781,108109,105978.97219660127,110239.02780339873,69433,61556.44106448864,77309.55893551136,124253,119582.2477379051,128923.7522620949,2581,182.69474906332334,4979.305250936677
2034,131567,120384.75263015956,142749.24736984045,121666,115209.79380476805,128122.20619523195,127839,116619.28948703138,139058.71051296862,43725,41597.88092485881,45852.11907514119,109548,107314.00799294698,111781.99200705302,69939,61677.99529530202,78200.00470469799,125060,120161.27369990412,129958.72630009588,2590,74.63623220467798,5105.363767795322
2035,132410,120730.52353724846,144089.47646275154,122581,115837.7125550042,129324.2874449958,129875,118156.39456040553,141593.60543959448,43912,41690.29658476462,46133.70341523538,111087,108753.67144793068,113420.32855206932,70614,61985.6619910031,79242.3380089969,125385,120268.44725106469,130501.55274893531,2596,-31.211771442211102,5223.211771442211
2036,132813,120656.61547796256,144969.38452203744,123829,116810.3639005627,130847.6360994373,131586,119388.88874761866,143783.11125238135,44260,41947.577769803356,46572.422230196644,112964,110535.39464378687,115392.60535621313,71429,62448.34106738492,80409.65893261509,125467,120141.52305403318,130792.47694596682,2600,-134.4887090042198,5334.488709004219
